dataId,data,time,src
6,[0.9000411784601703],221,2
129,[0.0036],221,2
7,[1.0],221,3
3,"[0.112215936833977, 0.7765031721897411, 0.11033187724743558, 0.006859300386779238]",221,3
128,[120.00303331674164],221,3
4,"[0.10374239731838858, 0.900741470006874, 0.09920133148832537, 0.1014788844142878, 0.10047624242864732, 0.09945731510273176, 0.0994003304859279, 0.10036689417874413, 0.9013850856654609, 0.10057664086884556, 0.9005723267996133, 0.10193157245187498, 0.9007612827774761, 0.0995812109543064, 0.8998881991144567, 0.10231594090347292, 0.10250930822338447, 0.10269949697985817, 0.10226495042762383, 0.8973235662073961, 0.9005267731668704, 0.8941024462991868, 0.09958933243786738, 0.10196966455236144, 0.0990140527268002, 0.10064087899682514, 0.09647946583707256, 0.09688447326485189, 0.09815819131737513, 0.09716144525335121, 0.8993145838125008, 0.1033927571455017, 0.09965714664723492, 0.8951900870638748, 0.9005852687085565, 0.10069853215241138, 0.09869276138388376, 0.10204009016786655, 0.09967631859698009, 0.8994769656530016, 0.9004301815703782, 0.10493051332566594, 0.0994710557393763, 0.09747446101774067, 0.8972773959543529, 0.10350129880026392, 0.09945912979568107, 0.1025588936549823, 0.8994000077427748, 0.1014417033777718]",221,4
5,"[0.9037423973183845, 0.900741470006874, 0.09920133148832537, 0.1014788844142878, 0.10047624242864732, 0.09945731510273176, 0.0994003304859279, 0.9003668941787378, 0.9013850856654609, 0.9005766408688447, 0.10057232679961378, 0.9019315724518754, 0.9007612827774761, 0.8995812109542999, 0.09988819911446065, 0.10231594090347292, 0.10250930822338447, 0.10269949697985817, 0.10226495042762383, 0.0973235662073985, 0.10052677316687372, 0.09410244629919198, 0.8995893324378612, 0.10196966455236144, 0.0990140527268002, 0.10064087899682514, 0.8964794658370688, 0.09688447326485189, 0.09815819131737513, 0.09716144525335121, 0.09931458381249993, 0.1033927571455017, 0.09965714664723492, 0.8951900870638748, 0.10058526870855616, 0.9006985321524077, 0.09869276138388376, 0.10204009016786655, 0.8996763185969769, 0.09947696565300179, 0.9004301815703782, 0.10493051332566594, 0.8994710557393699, 0.09747446101774067, 0.09727739595435192, 0.10350129880026392, 0.09945912979568107, 0.1025588936549823, 0.09940000774278059, 0.1014417033777718]",221,4
6,[0.8990037445465086],222,2
129,[0.0036],222,2
4,"[0.09873631391768405, 0.8983349455941769, 0.10094465960678774, 0.10798659012284886, 0.09938015171750704, 0.10034982959859068, 0.10175174498772367, 0.10095192231452584, 0.902487804567713, 0.1004341591886807, 0.9017026916810004, 0.10349054069053602, 0.8995603291499211, 0.09458647179863851, 0.8975405110722029, 0.09426769880780422, 0.10329661498279007, 0.10092975992852757, 0.10075399440029167, 0.8981279915731443, 0.9006401639138559, 0.9020521581972538, 0.09622619776026281, 0.10282499175598446, 0.10071664991358102, 0.09923816300770567, 0.0994903442723355, 0.0990163596977063, 0.10023735924900105, 0.1013784506756888, 0.9009510541644437, 0.10392375730387256, 0.10457803961890527, 0.90225750408365, 0.9021394540363771, 0.10154330866431235, 0.10035221585942747, 0.09485058939082897, 0.09650090089000893, 0.9031777115651665, 0.8991838030426762, 0.095526325520293, 0.09722656663405507, 0.09783767362811291, 0.9033582092832758, 0.10116054403854496, 0.09773246630091745, 0.10230345689176971, 0.89763033022821, 0.09552436630096853]",222,4
